2026-04-26T07:11:48Z,trader-r3-v1-vev-meanrev.py,2,2837.50,runs/sweep,vmr-ema50-te0-sk0.5-tc30,sweep vev_meanrev; trades=4
2026-04-26T07:11:52Z,trader-r3-v1-vev-meanrev.py,0,-3088.00,runs/sweep,vmr-ema50-te0-sk1.0-tc20,sweep vev_meanrev; trades=67
2026-04-26T07:11:52Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:52Z,trader-r3-v1-vev-meanrev.py,2,2495.50,runs/sweep,vmr-ema50-te0-sk1.0-tc20,sweep vev_meanrev; trades=49
2026-04-26T07:11:55Z,trader-r3-v1-vev-meanrev.py,0,-5809.00,runs/sweep,vmr-ema50-te0-sk1.0-tc30,sweep vev_meanrev; trades=119
2026-04-26T07:11:55Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk1.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:11:55Z,trader-r3-v1-vev-meanrev.py,2,2176.50,runs/sweep,vmr-ema50-te0-sk1.0-tc30,sweep vev_meanrev; trades=45
2026-04-26T07:11:59Z,trader-r3-v1-vev-meanrev.py,0,-2955.00,runs/sweep,vmr-ema50-te0-sk1.5-tc20,sweep vev_meanrev; trades=66
2026-04-26T07:11:59Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:59Z,trader-r3-v1-vev-meanrev.py,2,2495.50,runs/sweep,vmr-ema50-te0-sk1.5-tc20,sweep vev_meanrev; trades=49
2026-04-26T07:12:02Z,trader-r3-v1-vev-meanrev.py,0,-5512.00,runs/sweep,vmr-ema50-te0-sk1.5-tc30,sweep vev_meanrev; trades=123
2026-04-26T07:12:02Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk1.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:02Z,trader-r3-v1-vev-meanrev.py,2,2176.50,runs/sweep,vmr-ema50-te0-sk1.5-tc30,sweep vev_meanrev; trades=45
2026-04-26T07:12:06Z,trader-r3-v1-vev-meanrev.py,0,-2678.00,runs/sweep,vmr-ema50-te0-sk2.0-tc20,sweep vev_meanrev; trades=42
2026-04-26T07:12:06Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk2.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:06Z,trader-r3-v1-vev-meanrev.py,2,2440.50,runs/sweep,vmr-ema50-te0-sk2.0-tc20,sweep vev_meanrev; trades=50
2026-04-26T07:12:09Z,trader-r3-v1-vev-meanrev.py,0,-5675.00,runs/sweep,vmr-ema50-te0-sk2.0-tc30,sweep vev_meanrev; trades=122
2026-04-26T07:12:09Z,trader-r3-v1-vev-meanrev.py,1,-1494.50,runs/sweep,vmr-ema50-te0-sk2.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:09Z,trader-r3-v1-vev-meanrev.py,2,-3913.00,runs/sweep,vmr-ema50-te0-sk2.0-tc30,sweep vev_meanrev; trades=78
2026-04-26T07:12:12Z,trader-r3-v1-vev-meanrev.py,0,726.00,runs/sweep,vmr-ema50-te1-sk0.5-tc20,sweep vev_meanrev; trades=27
2026-04-26T07:12:12Z,trader-r3-v1-vev-meanrev.py,1,-1770.00,runs/sweep,vmr-ema50-te1-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:12Z,trader-r3-v1-vev-meanrev.py,2,-1949.50,runs/sweep,vmr-ema50-te1-sk0.5-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:12:15Z,trader-r3-v1-vev-meanrev.py,0,-690.00,runs/sweep,vmr-ema50-te1-sk0.5-tc30,sweep vev_meanrev; trades=61
2026-04-26T07:12:15Z,trader-r3-v1-vev-meanrev.py,1,-1403.50,runs/sweep,vmr-ema50-te1-sk0.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:15Z,trader-r3-v1-vev-meanrev.py,2,2704.50,runs/sweep,vmr-ema50-te1-sk0.5-tc30,sweep vev_meanrev; trades=22
2026-04-26T07:12:18Z,trader-r3-v1-vev-meanrev.py,0,-1657.00,runs/sweep,vmr-ema50-te1-sk1.0-tc20,sweep vev_meanrev; trades=133
2026-04-26T07:12:18Z,trader-r3-v1-vev-meanrev.py,1,-1454.50,runs/sweep,vmr-ema50-te1-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:18Z,trader-r3-v1-vev-meanrev.py,2,-1941.50,runs/sweep,vmr-ema50-te1-sk1.0-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:12:21Z,trader-r3-v1-vev-meanrev.py,0,-3756.00,runs/sweep,vmr-ema50-te1-sk1.0-tc30,sweep vev_meanrev; trades=98
2026-04-26T07:12:21Z,trader-r3-v1-vev-meanrev.py,1,-1403.50,runs/sweep,vmr-ema50-te1-sk1.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:21Z,trader-r3-v1-vev-meanrev.py,2,4400.00,runs/sweep,vmr-ema50-te1-sk1.0-tc30,sweep vev_meanrev; trades=77
2026-04-26T07:12:25Z,trader-r3-v1-vev-meanrev.py,0,302.00,runs/sweep,vmr-ema50-te1-sk1.5-tc20,sweep vev_meanrev; trades=61
2026-04-26T07:12:25Z,trader-r3-v1-vev-meanrev.py,1,-1454.50,runs/sweep,vmr-ema50-te1-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:25Z,trader-r3-v1-vev-meanrev.py,2,-1941.50,runs/sweep,vmr-ema50-te1-sk1.5-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:12:28Z,trader-r3-v1-vev-meanrev.py,0,-611.00,runs/sweep,vmr-ema50-te1-sk1.5-tc30,sweep vev_meanrev; trades=64
2026-04-26T07:12:28Z,trader-r3-v1-vev-meanrev.py,1,-1403.50,runs/sweep,vmr-ema50-te1-sk1.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:28Z,trader-r3-v1-vev-meanrev.py,2,2911.50,runs/sweep,vmr-ema50-te1-sk1.5-tc30,sweep vev_meanrev; trades=40
2026-04-26T07:12:33Z,trader-r3-v1-vev-meanrev.py,0,-881.00,runs/sweep,vmr-ema50-te1-sk2.0-tc20,sweep vev_meanrev; trades=48
2026-04-26T07:12:33Z,trader-r3-v1-vev-meanrev.py,1,-1454.50,runs/sweep,vmr-ema50-te1-sk2.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:33Z,trader-r3-v1-vev-meanrev.py,2,-1941.50,runs/sweep,vmr-ema50-te1-sk2.0-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:12:36Z,trader-r3-v1-vev-meanrev.py,0,-913.00,runs/sweep,vmr-ema50-te1-sk2.0-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:12:36Z,trader-r3-v1-vev-meanrev.py,1,-1403.50,runs/sweep,vmr-ema50-te1-sk2.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:36Z,trader-r3-v1-vev-meanrev.py,2,-2420.50,runs/sweep,vmr-ema50-te1-sk2.0-tc30,sweep vev_meanrev; trades=69
2026-04-26T07:12:42Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:42Z,trader-r3-v1-vev-meanrev.py,1,-1675.00,runs/sweep,vmr-ema50-te2-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:42Z,trader-r3-v1-vev-meanrev.py,2,-1935.00,runs/sweep,vmr-ema50-te2-sk0.5-tc20,sweep vev_meanrev; trades=12
2026-04-26T07:12:45Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk0.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:45Z,trader-r3-v1-vev-meanrev.py,1,-1540.00,runs/sweep,vmr-ema50-te2-sk0.5-tc30,sweep vev_meanrev; trades=4
2026-04-26T07:12:45Z,trader-r3-v1-vev-meanrev.py,2,-1925.00,runs/sweep,vmr-ema50-te2-sk0.5-tc30,sweep vev_meanrev; trades=11
2026-04-26T07:12:48Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:48Z,trader-r3-v1-vev-meanrev.py,1,-1446.00,runs/sweep,vmr-ema50-te2-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:48Z,trader-r3-v1-vev-meanrev.py,2,-1935.00,runs/sweep,vmr-ema50-te2-sk1.0-tc20,sweep vev_meanrev; trades=12
2026-04-26T07:12:52Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk1.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:52Z,trader-r3-v1-vev-meanrev.py,1,-1383.50,runs/sweep,vmr-ema50-te2-sk1.0-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:12:52Z,trader-r3-v1-vev-meanrev.py,2,-1925.00,runs/sweep,vmr-ema50-te2-sk1.0-tc30,sweep vev_meanrev; trades=11
2026-04-26T07:12:56Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:56Z,trader-r3-v1-vev-meanrev.py,1,-1446.00,runs/sweep,vmr-ema50-te2-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:12:56Z,trader-r3-v1-vev-meanrev.py,2,-2036.50,runs/sweep,vmr-ema50-te2-sk1.5-tc20,sweep vev_meanrev; trades=13
2026-04-26T07:13:00Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk1.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:13:00Z,trader-r3-v1-vev-meanrev.py,1,2057.00,runs/sweep,vmr-ema50-te2-sk1.5-tc30,sweep vev_meanrev; trades=17
2026-04-26T07:13:00Z,trader-r3-v1-vev-meanrev.py,2,-2026.50,runs/sweep,vmr-ema50-te2-sk1.5-tc30,sweep vev_meanrev; trades=12
2026-04-26T07:13:03Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk2.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:13:03Z,trader-r3-v1-vev-meanrev.py,1,1853.00,runs/sweep,vmr-ema50-te2-sk2.0-tc20,sweep vev_meanrev; trades=18
2026-04-26T07:13:03Z,trader-r3-v1-vev-meanrev.py,2,2698.50,runs/sweep,vmr-ema50-te2-sk2.0-tc20,sweep vev_meanrev; trades=21
2026-04-26T07:13:07Z,trader-r3-v1-vev-meanrev.py,0,-9.00,runs/sweep,vmr-ema50-te2-sk2.0-tc30,sweep vev_meanrev; trades=5
